-1~-1>(-1)Blank
1~-1>(-1)Blank
1~1>(1)Rambler/American
1~2>(2)Rebel/Matador/Marlin
1~3>(3)Ambassador
1~4>(4)Pacer
1~5>(5)AMX
1~6>(6)Javelin
1~7>(7)Hornet/Concord
1~8>(8)Spirit/Gremlin
1~9>(9)Eagle
1~10>(10)Eagle SX-4
1~398>(398)Other (automobile)
1~399>(399)Unknown (automobile)
1~997>(997)Not Reported
2~-1>(-1)Blank
2~1>(1)Compass
2~401>(401)CJ-2/CJ-3/CJ-4
2~402>(402)CJ-5/CJ-6/CJ-7/CJ-8
2~403>(403)YJ series/Wrangler
2~404>(404)Cherokee (1984-on)
2~405>(405)Liberty
2~406>(406)Commander
2~407>(407)Patriot
2~421>(421)Cherokee (thru 1983)
2~431>(431)Grand Wagoneer
2~481>(481)Pick-up
2~482>(482)Comanche
2~498>(498)Other (light truck)
2~499>(499)Unknown (light truck)
2~997>(997)Not Reported
2~999>(999)Unknown (JEEP)
3~-1>(-1)Blank
3~401>(401)Dispatcher
3~402>(402)Hummer
3~421>(421)Hummer (SUV from 1993-2003; see 431 for 2004 on) (for Pickup see model 481)

3~431>(431)Hummer (2004 on; see model 421 for 1993-2003)
3~466>(466)Dispatcher
3~481>(481)Hummer (Pickup) (for SUV see model 421 for 1993-2003; see 431 for 2004 on)
3~482>(482)Hummer
3~498>(498)Other (light truck)
3~499>(499)Unknown (light truck)
3~884>(884)Medium/Heavy Truck
3~898>(898)Other (medium/heavy truck)
3~899>(899)Unknown (medium/heavy truck
3~983>(983)Bus: Rear engine Flat front
3~988>(988)Other(bus)
3~989>(989)Unknown Bus Type
3~997>(997)Not Reported
3~998>(998)Other (vehicle)
3~999>(999)Unknown (AM GENERAL)
6~-1>(-1)Blank
6~9>(9)Cordoba
6~10>(10)New Yorker (thru 78)/ Newport/5th Avenue/Imperial (1979-83) 
   (excludes all FWD)

6~14>(14)New Yorker/E-Class/Imperial/ Fifth Avenue
6~15>(15)Laser
6~16>(16)LeBaron
6~17>(17)LeBaron GTS/GTC
6~18>(18)200
6~31>(31)TC (Maserati Sport)
6~35>(35)Conquest
6~41>(41)Concorde
6~42>(42)LHS
6~43>(43)Sebring
6~44>(44)Cirrus
6~50>(50)Executive
6~51>(51)300M/300/300C/300S
6~52>(52)PT Cruiser
6~53>(53)Prowler (2002 on)  (19971999-01 see Plymouth)
6~54>(54)Pacifica
6~55>(55)Crossfire
6~398>(398)Other (automobile)
6~399>(399)Unknown (automobile)
6~421>(421)Aspen
6~441>(441)Town and Country
6~442>(442)Voyager (2000 on; 1984-00 see Plymouth)

6~499>(499)Unknown (light truck)
6~997>(997)Not Reported
6~999>(999)Unknown (CHRYSLER)
7~-1>(-1)Blank
7~1>(1)Dart
7~2>(2)Coronet/Magnum/ Charger (thru 1978)

7~3>(3)Polara/Monaco/ Royal Monaco
7~4>(4)Viper
7~5>(5)Challenger
7~6>(6)Aspen
7~7>(7)Diplomat
7~8>(8)Omni/Charger (1983 on)
7~9>(9)Mirada
7~10>(10)St Regis
7~11>(11)Aries (K)
7~12>(12)400
7~13>(13)Rampage (car-based pickup)
7~14>(14)600
7~15>(15)Daytona
7~16>(16)Lancer
7~17>(17)Shadow
7~18>(18)Dynasty
7~19>(19)Spirit
7~20>(20)Neon
7~21>(21)Magnum
7~24>(24)Charger
7~25>(25)Caliber
7~26>(26)Avenger
7~27>(27)Journey
7~28>(28)Challenger
7~33>(33)Challenger
7~34>(34)Colt  (includes 2WD Vista)
7~35>(35)Conquest
7~39>(39)Stealth
7~40>(40)Monaco
7~41>(41)Intrepid
7~42>(42)Avenger
7~43>(43)Stratus
7~398>(398)Other (automobile)
7~399>(399)Unknown (automobile)
7~401>(401)RaiderSport
7~402>(402)Durango (1998-2003 only; see model 422 for 2004 on)
7~403>(403)Nitro
7~421>(421)Ramcharger
7~422>(422)Durango (2004 on; see 402 for 1998-2003 models)
7~441>(441)Vista Van
7~442>(442)Caravan/Grand Caravan
7~461>(461)B-Series Van/Ram Van/ Ram Wagon
7~462>(462)Sprinter
7~470>(470)Van Derivative
7~471>(471)D50 Colt pickup Ram 50/Ram 100
7~472>(472)Dakota
7~481>(481)D W-Series pickup
7~482>(482)Ram Pickup
7~498>(498)Other (light truck)
7~499>(499)Unknown (light truck)
7~850>(850)Motor Home
7~870>(870)Medium/Heavy Van-Based Vehicle
